ISBN,Book-Title,Book-Author,Publisher,Genre,combined_features
195153448,Classical Mythology,Mark P. O. Morford,Oxford University Press,,Classical Mythology Mark P. O. Morford Oxford University Press 
2005018,Clara Callan,Richard Bruce Wright,HarperFlamingo Canada,,Clara Callan Richard Bruce Wright HarperFlamingo Canada 
60973129,Decision in Normandy,Carlo D'Este,HarperPerennial,,Decision in Normandy Carlo D'Este HarperPerennial 
374157065,Flu: The Story of the Great Influenza Pandemic of 1918 and the Search for the Virus That Caused It,Gina Bari Kolata,Farrar Straus Giroux,,Flu: The Story of the Great Influenza Pandemic of 1918 and the Search for the Virus That Caused It Gina Bari Kolata Farrar Straus Giroux 
393045218,The Mummies of Urumchi,E. J. W. Barber,W. W. Norton &amp; Company,,The Mummies of Urumchi E. J. W. Barber W. W. Norton &amp; Company 
399135782,The Kitchen God's Wife,Amy Tan,Putnam Pub Group,,The Kitchen God's Wife Amy Tan Putnam Pub Group 
425176428,What If?: The World's Foremost Military Historians Imagine What Might Have Been,Robert Cowley,Berkley Publishing Group,,What If?: The World's Foremost Military Historians Imagine What Might Have Been Robert Cowley Berkley Publishing Group 
671870432,PLEADING GUILTY,Scott Turow,Audioworks,,PLEADING GUILTY Scott Turow Audioworks 
679425608,Under the Black Flag: The Romance and the Reality of Life Among the Pirates,David Cordingly,Random House,,Under the Black Flag: The Romance and the Reality of Life Among the Pirates David Cordingly Random House 
074322678X,Where You'll Find Me: And Other Stories,Ann Beattie,Scribner,,Where You'll Find Me: And Other Stories Ann Beattie Scribner 
771074670,Nights Below Station Street,David Adams Richards,Emblem Editions,,Nights Below Station Street David Adams Richards Emblem Editions 
080652121X,Hitler's Secret Bankers: The Myth of Swiss Neutrality During the Holocaust,Adam Lebor,Citadel Press,,Hitler's Secret Bankers: The Myth of Swiss Neutrality During the Holocaust Adam Lebor Citadel Press 
887841740,The Middle Stories,Sheila Heti,House of Anansi Press,,The Middle Stories Sheila Heti House of Anansi Press 
1552041778,Jane Doe,R. J. Kaiser,Mira Books,,Jane Doe R. J. Kaiser Mira Books 
1558746218,A Second Chicken Soup for the Woman's Soul (Chicken Soup for the Soul Series),Jack Canfield,Health Communications,,A Second Chicken Soup for the Woman's Soul (Chicken Soup for the Soul Series) Jack Canfield Health Communications 
1567407781,The Witchfinder (Amos Walker Mystery Series),Loren D. Estleman,Brilliance Audio - Trade,,The Witchfinder (Amos Walker Mystery Series) Loren D. Estleman Brilliance Audio - Trade 
1575663937,More Cunning Than Man: A Social History of Rats and Man,Robert Hendrickson,Kensington Publishing Corp.,,More Cunning Than Man: A Social History of Rats and Man Robert Hendrickson Kensington Publishing Corp. 
1881320189,Goodbye to the Buttermilk Sky,Julia Oliver,River City Pub,,Goodbye to the Buttermilk Sky Julia Oliver River City Pub 
440234743,The Testament,John Grisham,Dell,,The Testament John Grisham Dell 
452264464,Beloved (Plume Contemporary Fiction),Toni Morrison,Plume,,Beloved (Plume Contemporary Fiction) Toni Morrison Plume 
609804618,Our Dumb Century: The Onion Presents 100 Years of Headlines from America's Finest News Source,The Onion,Three Rivers Press,,Our Dumb Century: The Onion Presents 100 Years of Headlines from America's Finest News Source The Onion Three Rivers Press 
1841721522,New Vegetarian: Bold and Beautiful Recipes for Every Occasion,Celia Brooks Brown,Ryland Peters &amp; Small Ltd,,New Vegetarian: Bold and Beautiful Recipes for Every Occasion Celia Brooks Brown Ryland Peters &amp; Small Ltd 
1879384493,If I'd Known Then What I Know Now: Why Not Learn from the Mistakes of Others? : You Can't Afford to Make Them All Yourself,J. R. Parrish,Cypress House,,If I'd Known Then What I Know Now: Why Not Learn from the Mistakes of Others? : You Can't Afford to Make Them All Yourself J. R. Parrish Cypress House 
61076031,Mary-Kate &amp; Ashley Switching Goals (Mary-Kate and Ashley Starring in),Mary-Kate &amp; Ashley Olsen,HarperEntertainment,,Mary-Kate &amp; Ashley Switching Goals (Mary-Kate and Ashley Starring in) Mary-Kate &amp; Ashley Olsen HarperEntertainment 
439095026,Tell Me This Isn't Happening,Robynn Clairday,Scholastic,,Tell Me This Isn't Happening Robynn Clairday Scholastic 
689821166,Flood : Mississippi 1927,Kathleen Duey,Aladdin,,Flood : Mississippi 1927 Kathleen Duey Aladdin 
971880107,Wild Animus,Rich Shapero,Too Far,,Wild Animus Rich Shapero Too Far 
345402871,Airframe,Michael Crichton,Ballantine Books,,Airframe Michael Crichton Ballantine Books 
345417623,Timeline,MICHAEL CRICHTON,Ballantine Books,,Timeline MICHAEL CRICHTON Ballantine Books 
684823802,OUT OF THE SILENT PLANET,C.S. Lewis,Scribner,,OUT OF THE SILENT PLANET C.S. Lewis Scribner 
375759778,Prague : A Novel,ARTHUR PHILLIPS,Random House Trade Paperbacks,,Prague : A Novel ARTHUR PHILLIPS Random House Trade Paperbacks 
425163091,Chocolate Jesus,Stephan Jaramillo,Berkley Publishing Group,,Chocolate Jesus Stephan Jaramillo Berkley Publishing Group 
3404921038,Wie Barney es sieht.,Mordecai Richler,LÃ?Â¼bbe,,Wie Barney es sieht. Mordecai Richler LÃ?Â¼bbe 
3442353866,Der Fluch der Kaiserin. Ein Richter- Di- Roman.,Eleanor Cooney,Goldmann,,Der Fluch der Kaiserin. Ein Richter- Di- Roman. Eleanor Cooney Goldmann 
3442410665,Sturmzeit. Roman.,Charlotte Link,Goldmann,,Sturmzeit. Roman. Charlotte Link Goldmann 
3442446937,Tage der Unschuld.,Richard North Patterson,Goldmann,,Tage der Unschuld. Richard North Patterson Goldmann 
375406328,Lying Awake,Mark Salzman,Alfred A. Knopf,,Lying Awake Mark Salzman Alfred A. Knopf 
446310786,To Kill a Mockingbird,Harper Lee,Little Brown &amp; Company,,To Kill a Mockingbird Harper Lee Little Brown &amp; Company 
449005615,Seabiscuit: An American Legend,LAURA HILLENBRAND,Ballantine Books,,Seabiscuit: An American Legend LAURA HILLENBRAND Ballantine Books 
60168013,Pigs in Heaven,Barbara Kingsolver,Harpercollins,,Pigs in Heaven Barbara Kingsolver Harpercollins 
038078243X,Miss Zukas and the Raven's Dance,Jo Dereske,Avon,,Miss Zukas and the Raven's Dance Jo Dereske Avon 
055321215X,Pride and Prejudice,Jane Austen,Bantam,,Pride and Prejudice Jane Austen Bantam 
067176537X,The Therapeutic Touch: How to Use Your Hands to Help or to Heal,Dolores Krieger,Fireside,,The Therapeutic Touch: How to Use Your Hands to Help or to Heal Dolores Krieger Fireside 
61099686,Downtown,Anne Rivers Siddons,HarperTorch,,Downtown Anne Rivers Siddons HarperTorch 
553582909,Icebound,Dean R. Koontz,Bantam Books,,Icebound Dean R. Koontz Bantam Books 
671888587,I'll Be Seeing You,Mary Higgins Clark,Pocket,,I'll Be Seeing You Mary Higgins Clark Pocket 
553582747,From the Corner of His Eye,Dean Koontz,Bantam Books,,From the Corner of His Eye Dean Koontz Bantam Books 
425182908,Isle of Dogs,Patricia Cornwell,Berkley Publishing Group,,Isle of Dogs Patricia Cornwell Berkley Publishing Group 
042518630X,Purity in Death,J.D. Robb,Berkley Publishing Group,,Purity in Death J.D. Robb Berkley Publishing Group 
440223571,This Year It Will Be Different: And Other Stories,Maeve Binchy,Dell,,This Year It Will Be Different: And Other Stories Maeve Binchy Dell 
812523873,Proxies,Laura J. Mixon,Tor Books,,Proxies Laura J. Mixon Tor Books 
842342702,Left Behind: A Novel of the Earth's Last Days (Left Behind #1),Tim Lahaye,Tyndale House Publishers,,Left Behind: A Novel of the Earth's Last Days (Left Behind #1) Tim Lahaye Tyndale House Publishers 
440225701,The Street Lawyer,JOHN GRISHAM,Dell,,The Street Lawyer JOHN GRISHAM Dell 
60914068,"Love, Medicine and Miracles",M.D. Bernie S. Siegel,HarperCollins Publishers,,"Love, Medicine and Miracles M.D. Bernie S. Siegel HarperCollins Publishers "
156047624,All the King's Men,Robert Penn Warren,Harvest Books,,All the King's Men Robert Penn Warren Harvest Books 
245542957,Pacific Northwest,Hans Johannes Hoefer,Chambers Harrap Publishers Ltd,,Pacific Northwest Hans Johannes Hoefer Chambers Harrap Publishers Ltd 
380715899,A Soldier of the Great War,Mark Helprin,Avon Books,,A Soldier of the Great War Mark Helprin Avon Books 
553280333,Getting Well Again,O. Carol Simonton Md,Bantam,,Getting Well Again O. Carol Simonton Md Bantam 
961769947,Northwest Wines and Wineries,Chuck Hill,Speed Graphics,,Northwest Wines and Wineries Chuck Hill Speed Graphics 
964778319,An Atmosphere of Eternity: Stories of India,David Iglehart,Sunflower Press,,An Atmosphere of Eternity: Stories of India David Iglehart Sunflower Press 
671623249,LONESOME DOVE,Larry McMurtry,Pocket,,LONESOME DOVE Larry McMurtry Pocket 
679810307,Shabanu: Daughter of the Wind (Border Trilogy),SUZANNE FISHER STAPLES,Laurel Leaf,,Shabanu: Daughter of the Wind (Border Trilogy) SUZANNE FISHER STAPLES Laurel Leaf 
679865691,Haveli (Laurel Leaf Books),SUZANNE FISHER STAPLES,Laurel Leaf,,Haveli (Laurel Leaf Books) SUZANNE FISHER STAPLES Laurel Leaf 
2070423204,Lieux dits,Michel Tournier,Gallimard,,Lieux dits Michel Tournier Gallimard 
345260317,The Dragons of Eden: Speculations on the Evolution of Human Intelligence,Carl Sagan,Ballantine Books,,The Dragons of Eden: Speculations on the Evolution of Human Intelligence Carl Sagan Ballantine Books 
394743741,The yawning heights,Aleksandr Zinoviev,Random House,,The yawning heights Aleksandr Zinoviev Random House 
042511774X,Breathing Lessons,Anne Tyler,Berkley Publishing Group,,Breathing Lessons Anne Tyler Berkley Publishing Group 
804106304,The Joy Luck Club,Amy Tan,Prentice Hall (K-12),,The Joy Luck Club Amy Tan Prentice Hall (K-12) 
1853262404,Heart of Darkness (Wordsworth Collection),Joseph Conrad,NTC/Contemporary Publishing Company,,Heart of Darkness (Wordsworth Collection) Joseph Conrad NTC/Contemporary Publishing Company 
312970242,The Angel Is Near,Deepak Chopra,St. Martin's Press,,The Angel Is Near Deepak Chopra St. Martin's Press 
1853260053,Tess of the D'Urbervilles (Wordsworth Classics),Thomas Hardy,NTC/Contemporary Publishing Company,,Tess of the D'Urbervilles (Wordsworth Classics) Thomas Hardy NTC/Contemporary Publishing Company 
1414035004,The Adventures of Drew and Ellie: The Magical Dress,Charles Noland,1stBooks Library,,The Adventures of Drew and Ellie: The Magical Dress Charles Noland 1stBooks Library 
60938412,The Accidental Virgin,Valerie Frankel,Avon Trade,,The Accidental Virgin Valerie Frankel Avon Trade 
140067477,The Tao of Pooh,Benjamin Hoff,Penguin Books,,The Tao of Pooh Benjamin Hoff Penguin Books 
